Training Metrics Log
==================================================
Epoch: MAE, MSE, Loss
--------------------------------------------------
Epoch   1: MAE=  71.8, MSE=  95.2, Loss=0.00007408
Epoch   2: MAE=  76.0, MSE=  96.4, Loss=0.00007389
Epoch   3: MAE=  73.7, MSE=  95.4, Loss=0.00007370
Epoch   4: MAE=  71.6, MSE=  95.2, Loss=0.00007334
Epoch   5: MAE=  67.6, MSE=  83.5, Loss=0.00003966
Epoch   6: MAE=  50.1, MSE=  73.3, Loss=0.00003456
Epoch   7: MAE=  45.1, MSE=  68.6, Loss=0.00002907
Epoch   8: MAE=  67.8, MSE= 100.0, Loss=0.00002620
Epoch   9: MAE=  27.5, MSE=  44.0, Loss=0.00002443
Epoch  10: MAE=  28.2, MSE=  42.2, Loss=0.00002319
Epoch  11: MAE=  53.2, MSE=  78.7, Loss=0.00002224
Epoch  12: MAE=  38.5, MSE=  64.8, Loss=0.00002225
Epoch  13: MAE=  23.0, MSE=  39.1, Loss=0.00002069
Epoch  14: MAE=  26.9, MSE=  39.4, Loss=0.00001940
Epoch  15: MAE=  22.6, MSE=  38.5, Loss=0.00001886
Epoch  16: MAE=  20.4, MSE=  37.5, Loss=0.00001850
Epoch  17: MAE=  20.5, MSE=  35.6, Loss=0.00001842
Epoch  18: MAE=  23.5, MSE=  42.2, Loss=0.00001784
Epoch  19: MAE=  21.0, MSE=  39.8, Loss=0.00001710
Epoch  20: MAE=  20.0, MSE=  35.2, Loss=0.00001644
Epoch  21: MAE=  23.8, MSE=  42.4, Loss=0.00001479
Epoch  22: MAE=  27.5, MSE=  43.4, Loss=0.00001397
Epoch  23: MAE=  19.4, MSE=  29.8, Loss=0.00001382
Epoch  24: MAE=  21.7, MSE=  37.2, Loss=0.00001325
Epoch  25: MAE=  15.5, MSE=  29.4, Loss=0.00001303
Epoch  26: MAE=  20.4, MSE=  36.5, Loss=0.00001303
Epoch  27: MAE=  15.0, MSE=  25.3, Loss=0.00001266
Epoch  28: MAE=  24.0, MSE=  33.6, Loss=0.00001257
Epoch  29: MAE=  24.2, MSE=  34.3, Loss=0.00001251
Epoch  30: MAE=  22.5, MSE=  34.1, Loss=0.00001222
Epoch  31: MAE=  14.2, MSE=  21.5, Loss=0.00001224
Epoch  32: MAE=  13.2, MSE=  22.9, Loss=0.00001215
Epoch  33: MAE=  17.4, MSE=  29.4, Loss=0.00001227
Epoch  34: MAE=  14.5, MSE=  22.2, Loss=0.00001226
Epoch  35: MAE=  18.4, MSE=  25.1, Loss=0.00001220
Epoch  36: MAE=  20.8, MSE=  32.4, Loss=0.00001192
Epoch  37: MAE=  28.3, MSE=  40.5, Loss=0.00001202
Epoch  38: MAE=  39.8, MSE=  56.9, Loss=0.00001241
Epoch  39: MAE=  12.3, MSE=  19.5, Loss=0.00001210
Epoch  40: MAE=  11.9, MSE=  18.9, Loss=0.00001225
Epoch  41: MAE=  15.6, MSE=  23.4, Loss=0.00001248
Epoch  42: MAE=  16.5, MSE=  25.1, Loss=0.00001235
Epoch  43: MAE=  12.5, MSE=  22.0, Loss=0.00001209
Epoch  44: MAE=  23.5, MSE=  35.5, Loss=0.00001228
Epoch  45: MAE=  33.4, MSE=  46.7, Loss=0.00001207
Epoch  46: MAE=  12.0, MSE=  18.7, Loss=0.00001203
Epoch  47: MAE=  18.0, MSE=  28.8, Loss=0.00001237
Epoch  48: MAE=  19.6, MSE=  29.3, Loss=0.00001231
Epoch  49: MAE=  12.6, MSE=  22.0, Loss=0.00001191
Epoch  50: MAE=  18.7, MSE=  26.0, Loss=0.00001207
Epoch  51: MAE=  15.9, MSE=  25.0, Loss=0.00001291
Epoch  52: MAE=  20.9, MSE=  32.3, Loss=0.00001221
Epoch  53: MAE=  11.9, MSE=  19.0, Loss=0.00001245
Epoch  54: MAE=  40.1, MSE=  52.6, Loss=0.00001276
Epoch  55: MAE=  23.0, MSE=  33.3, Loss=0.00001247
Epoch  56: MAE=  11.9, MSE=  19.3, Loss=0.00001197
Epoch  57: MAE=  16.0, MSE=  25.8, Loss=0.00001186
Epoch  58: MAE=  12.7, MSE=  21.1, Loss=0.00001205
Epoch  59: MAE=  15.0, MSE=  21.7, Loss=0.00001213
Epoch  60: MAE=  14.6, MSE=  22.8, Loss=0.00001216
Epoch  61: MAE=  19.4, MSE=  27.2, Loss=0.00001217
Epoch  62: MAE=  11.2, MSE=  17.7, Loss=0.00001295
Epoch  63: MAE=  11.1, MSE=  18.1, Loss=0.00001235
Epoch  64: MAE=  11.7, MSE=  18.0, Loss=0.00001303
Epoch  65: MAE=  11.6, MSE=  19.4, Loss=0.00001205
Epoch  66: MAE=  10.7, MSE=  17.0, Loss=0.00001224
Epoch  67: MAE=  21.9, MSE=  30.3, Loss=0.00001266
Epoch  68: MAE=  19.1, MSE=  29.1, Loss=0.00001223
Epoch  69: MAE=  13.7, MSE=  19.7, Loss=0.00001271
Epoch  70: MAE=  11.1, MSE=  17.6, Loss=0.00001261
Epoch  71: MAE=  11.0, MSE=  17.0, Loss=0.00001246
Epoch  72: MAE=  12.0, MSE=  17.5, Loss=0.00001298
Epoch  73: MAE=  11.1, MSE=  18.4, Loss=0.00001264
Epoch  74: MAE=  11.5, MSE=  18.9, Loss=0.00001301
Epoch  75: MAE=  13.2, MSE=  20.9, Loss=0.00001253
Epoch  76: MAE=  17.6, MSE=  25.5, Loss=0.00001307
Epoch  77: MAE=  11.5, MSE=  19.7, Loss=0.00001266
Epoch  78: MAE=  11.3, MSE=  18.1, Loss=0.00001289
Epoch  79: MAE=  13.9, MSE=  22.9, Loss=0.00001315
Epoch  80: MAE=  17.2, MSE=  25.0, Loss=0.00001302
Epoch  81: MAE=  16.1, MSE=  25.1, Loss=0.00001331
Epoch  82: MAE=  13.3, MSE=  22.8, Loss=0.00001366
Epoch  83: MAE=  10.5, MSE=  16.4, Loss=0.00001335
Epoch  84: MAE=  18.0, MSE=  27.5, Loss=0.00001353
Epoch  85: MAE=  14.1, MSE=  21.5, Loss=0.00001315
Epoch  86: MAE=  11.4, MSE=  18.1, Loss=0.00001410
Epoch  87: MAE=  11.0, MSE=  17.3, Loss=0.00001351
Epoch  88: MAE=  11.2, MSE=  17.4, Loss=0.00001385
Epoch  89: MAE=  14.0, MSE=  20.3, Loss=0.00001394
Epoch  90: MAE=  13.0, MSE=  20.4, Loss=0.00001376
Epoch  91: MAE=  15.3, MSE=  23.6, Loss=0.00001390
Epoch  92: MAE=  23.9, MSE=  31.6, Loss=0.00001487
Epoch  93: MAE=  15.7, MSE=  24.4, Loss=0.00001408
Epoch  94: MAE=  12.3, MSE=  19.3, Loss=0.00001381
Epoch  95: MAE=  10.7, MSE=  17.0, Loss=0.00001418
Epoch  96: MAE=  11.3, MSE=  17.3, Loss=0.00001522
Epoch  97: MAE=  15.6, MSE=  21.1, Loss=0.00001433
Epoch  98: MAE=  10.8, MSE=  16.6, Loss=0.00001503
Epoch  99: MAE=  10.8, MSE=  16.9, Loss=0.00001496
Epoch 100: MAE=  16.9, MSE=  24.4, Loss=0.00001502
Epoch 101: MAE=  12.7, MSE=  18.0, Loss=0.00001533
Epoch 102: MAE=  11.8, MSE=  19.0, Loss=0.00001528
Epoch 103: MAE=  11.4, MSE=  17.3, Loss=0.00001502
